"","iso3","village","count"
"717","IDN","Aikmel Timur",1
"718","IDN","Aimas",1
"719","IDN","Aimasi",1
"720","IDN","Aimasi/Sp III Aimasi",1
"721","IDN","Aimere",1
"722","IDN","Aimere Timur",1
"723","IDN","Aimoli",1
"724","IDN","Ainani Tajriani",1
"725","IDN","Aindua",1
"726","IDN","Ainena",1
"727","IDN","Aipiri",1
"728","IDN","Air Anyir",1
"729","IDN","Air Asam",1
"730","IDN","Air Asuk",1
"731","IDN","Air Bajo",1
"732","IDN","Air Bara",1
"733","IDN","Air Batang",1
"734","IDN","Air Batu Buding",1
"735","IDN","Air Belo",1
"736","IDN","Air Berau",1
"737","IDN","Air Berudang",1
"738","IDN","Air Besar",2
"739","IDN","Air Bikuk",1
"740","IDN","Air Bini",1
"741","IDN","Air Biru",1
"742","IDN","Air Buaya",1
"743","IDN","Air Bulan",1
"744","IDN","Air Bulin",1
"745","IDN","Air Buluh",1
"746","IDN","Air Dikit",1
"747","IDN","Air Dingin",2
"748","IDN","Air Duren",1
"749","IDN","Air Gantang",1
"750","IDN","Air Glubi",1
"751","IDN","Air Haji Barat",1
"752","IDN","Air Haji Tengah",1
"753","IDN","Air Haji Tenggara",1
"754","IDN","Air Hitam",4
"755","IDN","Air Hitam Besar",1
"756","IDN","Air Hitam Hulu",1
"757","IDN","Air Hitam Laut",1
"758","IDN","Air Itam",1
"759","IDN","Air Jelatang",1
"760","IDN","Air Joman",1
"761","IDN","Air Joman Baru",1
"762","IDN","Air Jukung",1
"763","IDN","Air Kalimat",1
"764","IDN","Air Kasai",1
"765","IDN","Air Kelik",1
"766","IDN","Air Kemang",1
"767","IDN","Air Kenari",1
"768","IDN","Air Kepala Tujuh",1
"769","IDN","Air Kering I",1
"770","IDN","Air Kering II",1
"771","IDN","Air Kumpai",1
"772","IDN","Air Kuning",1
"773","IDN","Air Latak",1
"774","IDN","Air Lengit",1
"775","IDN","Air Lintang",1
"776","IDN","Air Long",1
"777","IDN","Air Mancur",1
"778","IDN","Air Mandidi",1
"779","IDN","Air Mangga",1
"780","IDN","Air Manis",1
"781","IDN","Air Masin",1
"782","IDN","Air Mata",1
"783","IDN","Air Mawar",1
"784","IDN","Air Menduyung",1
"785","IDN","Air Merah",1
"786","IDN","Air Merbau",1
"787","IDN","Air Muring",1
"788","IDN","Air Nanang",1
"789","IDN","Air Napal",1
"790","IDN","Air Nona",1
"791","IDN","Air Nusa",1
"792","IDN","Air Nyatoh",1
"793","IDN","Air Pacah",1
"794","IDN","Air Padang",1
"795","IDN","Air Palawan",1
"796","IDN","Air Panas",2
"797","IDN","Air Pandan",1
"798","IDN","Air Payang",1
"799","IDN","Air Payangan",1
"800","IDN","Air Periukan",1
"801","IDN","Air Petai",2
"802","IDN","Air Pinang",2
"803","IDN","Air Putih",6
"804","IDN","Air Raja",2
"805","IDN","Air Rami",1
"806","IDN","Air Ringau",1
"807","IDN","Air Ruai",1
"808","IDN","Air Saga",1
"809","IDN","Air Salemba",1
"810","IDN","Air Salobar",1
"811","IDN","Air Santok",1
"812","IDN","Air Sebakul",1
"813","IDN","Air Sebayur",1
"814","IDN","Air Sekamanak",1
"815","IDN","Air Selumar",1
"816","IDN","Air Sena",1
"817","IDN","Air Seru",1
"818","IDN","Air Sialang Hilir",1
"819","IDN","Air Sialang Hulu",1
"820","IDN","Air Sialang Tengah",1
"821","IDN","Air Simpang",1
"822","IDN","Air Solok Batu",1
"823","IDN","Air Sulau",1
"824","IDN","Air Suning",1
"825","IDN","Air Tawar",1
"826","IDN","Air Tawar Barat",1
"827","IDN","Air Tawar Timur",1
"828","IDN","Air Teras",1
"829","IDN","Air Ternate",1
"830","IDN","Air Umban",1
"831","IDN","Airkasar",1
"832","IDN","Airlakok",1
"833","IDN","Airlangga",1
"834","IDN","Airlimau",1
"835","IDN","Airmesu",1
"836","IDN","Airmesu Timur",1
"837","IDN","Ais",1
"838","IDN","Aisandami",1
"839","IDN","Aisau",1
"840","IDN","Aitiri",1
"841","IDN","Aiwa",1
"842","IDN","Ajakkang",1
"843","IDN","Ajallasse",1
"844","IDN","Ajamu",1
"845","IDN","Ajang Pulu",1
"846","IDN","Ajee Pagar Air",1
"847","IDN","Aji Kuning",1
"848","IDN","Ajjalireng",1
"849","IDN","Ajuen",1
"850","IDN","Ajuraja",1
"851","IDN","Akacipong",1
"852","IDN","Akah",1
"853","IDN","Akar",1
"854","IDN","Akar Akar",1
"855","IDN","Akas",1
"856","IDN","Akas Balane",1
"857","IDN","Akat Fadedo",1
"858","IDN","Akcaya",1
"859","IDN","Ake Daga",1
"860","IDN","Ake Jailolo",2
"861","IDN","Ake Jawi",1
"862","IDN","Akeara",1
"863","IDN","Akeboso",1
"864","IDN","Akedabo",1
"865","IDN","Akediri",1
"866","IDN","Akedotilou",1
"867","IDN","Akegula",1
"868","IDN","Akeguraci",1
"869","IDN","Akehuda",1
"870","IDN","Akeju",1
"871","IDN","Akekolano",1
"872","IDN","Akelaha",1
"873","IDN","Akelamo",3
"874","IDN","Akelamo Kao",1
"875","IDN","Akelamo Kao Cibok",1
"876","IDN","Akembawi",1
"877","IDN","Akesai",1
"878","IDN","Akesibu",1
"879","IDN","Akesimbeka",1
"880","IDN","Aketernate",1
"881","IDN","Aketobololo",1
"882","IDN","Aketola",1
